TABLE_TITLE,TABLE_UNIVERSE
Allocation Of Language Status For The Population 5 Years And Over,Population 5 years and over
Relationship By Household Type (Including Living Alone) For The Population 65 Years And Over,Population 65 years and over
Allocation Of Year Of Entry For Population Born Outside Puerto Rico,Population born outside Puerto Rico
Allocation Of Year Of Entry,Population born outside the United States
Ratio Of Income To Poverty Level In The Past 12 Months,Population for whom poverty status is determined
Poverty Status Of Individuals In The Past 12 Months By Living Arrangement,Population for whom poverty status is determined
Age By Presence Of A Computer And Types Of Internet Subscription In Household,Population in Households
Age And Enrollment Status By Computer Ownership And Internet Subscription Status,Population in Households
Presence Of A Computer And Type Of Internet Subscription In Household,Population in Households
Allocation Of Relationship,Population in households
Household Type By Relatives And Nonrelatives For Population In Households,Population in households
Household Type By Relatives And Nonrelatives For Population In Households (American Indian And Alaska Native Alone),Population in households with a householder who is American Indian and Alaska Native alone
Household Type By Relatives And Nonrelatives For Population In Households (Asian Alone),Population in households with a householder who is Asian alone
Household Type By Relatives And Nonrelatives For Population In Households (Black Or African American Alone),Population in households with a householder who is Black or African American alone
Household Type By Relatives And Nonrelatives For Population In Households (Hispanic Or Latino),Population in households with a householder who is Hispanic or Latino
Household Type By Relatives And Nonrelatives For Population In Households (Some Other Race Alone),Population in households with a householder who is Some other race alone
Household Type By Relatives And Nonrelatives For Population In Households (Two Or More Races),Population in households with a householder who is Two or more races
Household Type By Relatives And Nonrelatives For Population In Households (White Alone),Population in households with a householder who is White alone
"Household Type By Relatives And Nonrelatives For Population In Households (White Alone, Not Hispanic Or Latino)","Population in households with a householder who is White alone, not Hispanic or Latino"
Relationship To Householder For Children Under 18 Years In Households,"Population under 18 years in households (excluding householders, spouses, and unmarried partners)"
Allocation Of Gross Rent,Renter-occupied housing units
Bedrooms By Gross Rent,Renter-occupied housing units
Gross Rent,Renter-occupied housing units
Contract Rent,Renter-occupied housing units
Gross Rent As A Percentage Of Household Income In The Past 12 Months,Renter-occupied housing units
Age Of Householder By Gross Rent As A Percentage Of Household Income In The Past 12 Months,Renter-occupied housing units
Inclusion Of Utilities In Rent,Renter-occupied housing units
Household Income By Gross Rent As A Percentage Of Household Income In The Past 12 Months,Renter-occupied housing units
Allocation Of Contract Rent,Renter-occupied housing units
Aggregate Gross Rent (Dollars),Renter-occupied housing units paying cash rent
Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Renter-occupied housing units paying cash rent
Kitchen Facilities By Meals Included In Rent,Renter-occupied housing units paying cash rent
Aggregate Gross Rent (Dollars) By Meals Included In Rent,Renter-occupied housing units paying cash rent
Lower Contract Rent Quartile (Dollars),Renter-occupied housing units paying cash rent
Allocation Of Meals Included In Rent,Renter-occupied housing units paying cash rent
Upper Contract Rent Quartile (Dollars),Renter-occupied housing units paying cash rent
Median Gross Rent (Dollars),Renter-occupied housing units paying cash rent
Aggregate Contract Rent (Dollars),Renter-occupied housing units paying cash rent
Aggregate Gross Rent (Dollars) By Units In Structure,Renter-occupied housing units paying cash rent
Age Of Householder By Meals Included In Rent,Renter-occupied housing units paying cash rent
Median Contract Rent (Dollars),Renter-occupied housing units paying cash rent
Field Of Bachelor's Degree For First Major The Population 25 Years And Over (Some Other Race Alone),SOME OTHER RACE ALONE POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Presence Of A Computer And Type Of Internet Subscription In Household (Some Other Race Alone),Some other race alone household population
Some Other Race Alone Or In Combination With One Or More Other Races,Some other race alone or in combination with one or more other races
Aggregate Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For The Population 15 Years And Over (Some Other Race Alone),Some other race alone population 15 years and over
School Enrollment By Detailed Level Of School For The Population 3 Years And Over (Some Other Race Alone),Some other race alone population 3 years and over
Total Fields Of Bachelor's Degrees Reported,TOTAL BACHELOR'S DEGREE MAJORS TALLIED FOR PEOPLE 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Field Of Bachelor's Degree For First Major The Population 25 Years And Over (Two Or More Races),TWO OR MORE RACES POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
Per Capita Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars),Total population
Hispanic Or Latino Origin By Race,Total population
Allocation Of Sex,Total population
Allocation Of Place Of Birth,Total population
Detailed Race,Total population
Total Population,Total population
Household Type (Including Living Alone) By Relationship,Total population
Race,Total population
Allocation Of Age,Total population
Allocation Of Race,Total population
Sex By Age,Total population
Median Age By Sex,Total population
Hispanic Or Latino Origin,Total population
Allocation Of Hispanic Or Latino Origin,Total population
Allocation Of Citizenship Status,Total population
Total Population In Occupied Housing Units By Tenure,Total population in occupied housing units
Total Population In Occupied Housing Units By Tenure By Units In Structure,Total population in occupied housing units
Presence Of A Computer And Type Of Internet Subscription In Household (Two Or More Races),Two or more races household population
Per Capita Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) (Two Or More Races),Two or more races population
Aggregate Income In The Past 12 Months (In 2020 Inflation-Adjusted Dollars) For The Population 15 Years And Over (Two Or More Races),Two or more races population 15 years and over
School Enrollment By Detailed Level Of School For The Population 3 Years And Over (Two Or More Races),Two or more races population 3 years and over
Allocation Of Poverty Status In The Past 12 Months For Unrelated Individuals,Unrelated individuals 15 years and over for whom poverty status is determined
Vacancy Status,Vacant housing units
Allocation Of Vacancy Status,Vacant housing units
Allocation Of Rent Asked,"Vacant-for-rent and rented, not occupied housing units"
Aggregate Rent Asked (Dollars),"Vacant-for-rent and rented, not occupied housing units"
Rent Asked,"Vacant-for-rent and rented, not occupied housing units"
Aggregate Price Asked (Dollars),"Vacant-for-sale-only and sold, not occupied housing units"
Price Asked,"Vacant-for-sale-only and sold, not occupied housing units"
Allocation Of Price Asked,"Vacant-for-sale-only and sold, not occupied housing units"
Field Of Bachelor's Degree For First Major The Population 25 Years And Over (White Alone),WHITE ALONE POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT
